Code RWC,idTree,idLeaf,NrRunLeaf,spName,statusLeaf,phenoLeaf,DenseSecVeins,idVapro,NrRunVapro,C_0,comment storag/disc/run/health/pheno,P_osmo,P_tlp
53,NA,1,1,Boc.pro,herbivory,mature,ok,1,6,573,qq points marrons,-1.4325,-1.8095675000000002
54,NA,1,1,Pro.opa,healthy,mature,ok,1,8,686,un point d'herbivorie,-1.715,-2.035285
55,NA,2,1,Jac.cop,healthy,mature,ok,1,10,NA,abandon,NA,NA
56,NA,1,1,Chr.pri,healthy,mature,ok,1,6,690,NA,-1.725,-2.0432750000000004
57,NA,1,1,Con.gui,healthy,mature,ok,1,8,514,NA,-1.285,-1.691715
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pas d'individus,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pas d'individus,NA,NA
60,NA,1,1,Con.gui,healthy,mature,ok,1,5,626,NA,-1.565,-1.915435
61,NA,1,1,Jac.cop,healthy,mature,ok,1,7,369,NA,-0.9225,-1.4020775
62,NA,1,1,Chr.pri,healthy,mature,ok,1,8,848,NA,-2.12,-2.35888
63,NA,1,1,Boc.pro,herbivory,mature,ok,1,6,514,NA,-1.285,-1.691715
64,NA,1,1,Sym.glo,healthy,mature,no,1,4,415,NA,-1.0375,-1.4939625000000003
65,NA,1,1,Tac.mel,herbivory,mature,ok,1,4,556,NA,-1.3900000000000001,-1.7756100000000001
66,NA,1,1,Pro.ste,healthy,mature,ok,1,5,747,qq points marrons,-1.8675,-2.1571325000000003
67,NA,1,1,Esc.cor,herbivory,mature,ok,1,4,445,NA,-1.1125,-1.5538875
68,NA,1,1,Boc.pro,healthy,mature,ok,1,7,580,qq points marrons,-1.45,-1.82355
69,NA,1,1,Tac.mel,healthy,mature,ok,1,6,723,NA,-1.8075,-2.1091925000000002
70,NA,1,1,Con.gui,healthy,mature,ok,1,4,445,NA,-1.1125,-1.5538875
71,NA,2,1,Jac.cop,healthy,mature,ok,1,10,NA,abandon,NA,NA
72,NA,1,1,Con.gui,healthy,mature,ok,1,5,512,NA,-1.28,-1.68772
73,NA,1,1,Car.sur,epiphyte,mature,ok,1,5,535,NA,-1.3375000000000001,-1.7336625
74,NA,1,1,Lic.mem,herbivory,mature,ok,1,4,638,NA,-1.595,-1.939405
75,NA,1,1,Boc.pro,herbivory,mature,ok,1,4,501,qq points marrons,-1.2525,-1.6657475
